FR,Article,Article_suggested,Gender_confidence,EN,Example_FR,Example_EN,TAGS
code (de conduite; d’éthique),,f,Low,code (of conduct; of ethics),Le code (de conduite; d’éthique) est essentiel(le) pour appuyer la prise de décision.,The code (of conduct is essential to support decision-making.,Module L16 — Valeurs et éthique
conflit d’intérêts,,m,Low,conflict of interest,"Lors de la réunion, le conflit d’intérêts a été présenté(e) à l’équipe.","During the meeting, the conflict of interest was presented to the team.",Module L16 — Valeurs et éthique
Être en conflit d’intérêts,,,,to have a conflict of interest,"Pour respecter l’échéancier, on va Être en conflit d’intérêts dès cette semaine.","To meet the timeline, we will have a conflict of interest this week.",Module L16 — Valeurs et éthique
favoritisme,m,m,High,favoritism,"Dans le rapport, le favoritisme figure parmi les priorités.","In the report, the favoritism is listed among the priorities.",Module L16 — Valeurs et éthique
L’image (de la fonction publique; du fonctionnaire),mf,mf,High,image (of the Public Service; of the civil servant),"Sans L’image (de la fonction publique; du fonctionnaire), il serait difficile d’assurer une gouvernance claire.","Without image (of the Public Service, it would be difficult to ensure clear governance.",Module L16 — Valeurs et éthique
professionnalisme,m,m,High,professionalism,Un budget supplémentaire a été alloué à professionnalisme cette année.,An additional budget was allocated to professionalism this year.,Module L16 — Valeurs et éthique
Faire preuve de professionnalisme,,,,to show professionalism,"Après l’analyse des données, le groupe de travail va Faire preuve de professionnalisme.","After analyzing the data, the working group will show professionalism.",Module L16 — Valeurs et éthique
Manquer de professionnalisme,,,,to lack professionalism,Le ministère s’attend à ce que nous puissions Manquer de professionnalisme sans retard.,The department expects us to lack professionalism without delay.,Module L16 — Valeurs et éthique
Profiter du système,,,,to take advantage of the system,Nous devons Profiter du système avant la date limite fixée par le gestionnaire.,We must take advantage of the system before the deadline set by the manager.,Module L16 — Valeurs et éthique
règles,,m,Low,rules,"Lors de la réunion, le règles a été présenté(e) à l’équipe.","During the meeting, the rules was presented to the team.",Module L16 — Valeurs et éthique
Respecter; Faire respecter (les règles),,,,to respect; to enforce (rules),"Pour respecter l’échéancier, on va Respecter; Faire respecter (les règles) dès cette semaine.","To meet the timeline, we will respect this week.",Module L16 — Valeurs et éthique
valeurs : La courtoisie; L’intégrité; L’honnêteté; L’équité; L’ouverture d’esprit; La tolérance; La transparence; Le professionnalisme; L’intendance,f,f,High,values: courtesy; integrity; honesty; equity; open-mindedness; tolerance; transparency; professionalism; stewardship,"Dans le rapport, le valeurs : La courtoisie; L’intégrité; L’honnêteté; L’équité; L’ouverture d’esprit; La tolérance; La transparence; Le professionnalisme; L’intendance figure parmi les priorités.","In the report, the values: courtesy is listed among the priorities.",Module L16 — Valeurs et éthique
décision,f,f,High,a decision,"Sans décision, il serait difficile d’assurer une gouvernance claire.","Without a decision, it would be difficult to ensure clear governance.",Module L17 — Mon ministère : mes tâches
Prendre des décisions importantes,,,,to make important decisions,"Dans la note d’information, on propose de Prendre des décisions importantes pour réduire les risques.","In the briefing note, we propose to make important decisions to reduce risks.",Module L17 — Mon ministère : mes tâches
Déléguer (des responsabilités; des tâches),,,,to delegate (responsibilities; tasks),"Après l’analyse des données, le groupe de travail va Déléguer (des responsabilités; des tâches).","After analyzing the data, the working group will delegate (responsibilities.",Module L17 — Mon ministère : mes tâches
difficulté,,f,Low,a difficulty,Nous misons sur difficulté pour renforcer l’équité et l’inclusion.,We’re relying on a difficulty to strengthen equity and inclusion.,Module L17 — Mon ministère : mes tâches
Avoir de la difficulté,,,,to find it hard,Nous devons Avoir de la difficulté avant la date limite fixée par le gestionnaire.,We must find it hard before the deadline set by the manager.,Module L17 — Mon ministère : mes tâches
Diriger (une équipe; un projet),,,,to lead/manage (a team; a project),L’équipe a décidé de Diriger (une équipe; un projet) après la consultation des partenaires.,The team decided to lead/manage (a team after consulting stakeholders.,Module L17 — Mon ministère : mes tâches
échéance,f,f,High,a deadline,Le plan inclut échéance pour améliorer la prestation de services.,The plan includes a deadline to improve service delivery.,Module L17 — Mon ministère : mes tâches
Gérer (une équipe),,,,to manage (a team),Le comité recommande de Gérer (une équipe) afin d’assurer la transparence.,The committee recommends manage to ensure transparency.,Module L17 — Mon ministère : mes tâches
heures supplémentaires,,m,Low,overtime,"Sans heures supplémentaires, il serait difficile d’assurer une gouvernance claire.","Without overtime, it would be difficult to ensure clear governance.",Module L17 — Mon ministère : mes tâches
Faire des heures supplémentaires,,,,to work overtime,"Dans la note d’information, on propose de Faire des heures supplémentaires pour réduire les risques.","In the briefing note, we propose to work overtime to reduce risks.",Module L17 — Mon ministère : mes tâches
mandat,,m,Low,a mandate,La mise en œuvre repose en grande partie sur mandat.,Implementation largely depends on a mandate.,Module L17 — Mon ministère : mes tâches
Avoir pour mandat de,,,,to have the mandate to,Le ministère s’attend à ce que nous puissions Avoir pour mandat de sans retard.,The department expects us to have the mandate to without delay.,Module L17 — Mon ministère : mes tâches
"objectif (à court, moyen, long terme)",,f,Low,an objective (short/medium/long-term),"L’ objectif (à court, moyen, long terme) est essentiel(le) pour appuyer la prise de décision.",The an objective is essential to support decision-making.,Module L17 — Mon ministère : mes tâches
Atteindre; Avoir pour; Se fixer des objectifs,,,,to reach; to have as; to set objectives,L’équipe a décidé de Atteindre; Avoir pour; Se fixer des objectifs après la consultation des partenaires.,The team decided to reach after consulting stakeholders.,Module L17 — Mon ministère : mes tâches
S’occuper de (d’un dossier),,,,to handle (a file),"Pour respecter l’échéancier, on va S’occuper de (d’un dossier) dès cette semaine.","To meet the timeline, we will handle this week.",Module L17 — Mon ministère : mes tâches
politiques,,m,Low,policies,"Dans le rapport, le politiques figure parmi les priorités.","In the report, the policies is listed among the priorities.",Module L17 — Mon ministère : mes tâches
Appliquer; élaborer; faire respecter (les politiques),,,,to implement; develop; enforce (policies),"Avant la séance d’information, il faudra Appliquer; élaborer; faire respecter (les politiques) les options possibles.","Before the briefing, we’ll implement the possible options.",Module L17 — Mon ministère : mes tâches
priorité,,f,Low,a priority,Un budget supplémentaire a été alloué à priorité cette année.,An additional budget was allocated to a priority this year.,Module L17 — Mon ministère : mes tâches
Définir; établir les priorités,,,,to set priorities,"Après l’analyse des données, le groupe de travail va Définir; établir les priorités.","After analyzing the data, the working group will set priorities.",Module L17 — Mon ministère : mes tâches
programme,,f,Low,a program,Nous misons sur programme pour renforcer l’équité et l’inclusion.,We’re relying on a program to strengthen equity and inclusion.,Module L17 — Mon ministère : mes tâches
Administrer; être responsable; gérer; mettre sur pied; s’occuper (d’un programme),,,,to administer; be responsible; manage; set up; handle (a program),Nous devons Administrer; être responsable; gérer; mettre sur pied; s’occuper (d’un programme) avant la date limite fixée par le gestionnaire.,We must administer before the deadline set by the manager.,Module L17 — Mon ministère : mes tâches
responsabilité,,f,Low,responsibility,"Lors de la réunion, le responsabilité a été présenté(e) à l’équipe.","During the meeting, the responsibility was presented to the team.",Module L17 — Mon ministère : mes tâches
Être responsable de,,,,to be responsible for,"Pour respecter l’échéancier, on va Être responsable de dès cette semaine.","To meet the timeline, we will be responsible for this week.",Module L17 — Mon ministère : mes tâches
(S’)adapter,,,,to adjust,Le comité recommande de (S’)adapter afin d’assurer la transparence.,The committee recommends adjust to ensure transparency.,Module L18 — Diversité et équité en matière d’emploi
Autochtones,,m,Low,Aboriginal people,"Sans Autochtones, il serait difficile d’assurer une gouvernance claire.","Without Aboriginal people, it would be difficult to ensure clear governance.",Module L18 — Diversité et équité en matière d’emploi
barrière,,f,Low,a barrier,"Dans la note d’information, on propose de barrière pour réduire les risques.","In the briefing note, we propose to a barrier to reduce risks.",Module L18 — Diversité et équité en matière d’emploi
obstacle,,f,Low,an obstacle,La mise en œuvre repose en grande partie sur obstacle.,Implementation largely depends on an obstacle.,Module L18 — Diversité et équité en matière d’emploi
discrimination,f,f,High,discrimination,Nous misons sur discrimination pour renforcer l’équité et l’inclusion.,We’re relying on discrimination to strengthen equity and inclusion.,Module L18 — Diversité et équité en matière d’emploi
Encourager,,,,to promote,Nous devons Encourager avant la date limite fixée par le gestionnaire.,We must promote before the deadline set by the manager.,Module L18 — Diversité et équité en matière d’emploi
L’équité,,f,Low,equity,"Lors de la réunion, le L’équité a été présenté(e) à l’équipe.","During the meeting, the equity was presented to the team.",Module L18 — Diversité et équité en matière d’emploi
groupes désignés : Autochtones; personnes handicapées; minorités visibles; femmes,,m,Low,designated groups: Aboriginal peoples; persons with disabilities; visible minorities; women,Le plan inclut groupes désignés : Autochtones; personnes handicapées; minorités visibles; femmes pour améliorer la prestation de services.,The plan includes designated groups: Aboriginal peoples to improve service delivery.,Module L18 — Diversité et équité en matière d’emploi
Faire partie d’un groupe désigné,,,,to belong to a target group,Le comité recommande de Faire partie d’un groupe désigné afin d’assurer la transparence.,The committee recommends belong to a target group to ensure transparency.,Module L18 — Diversité et équité en matière d’emploi
handicap,,m,Low,a disability,"Sans handicap, il serait difficile d’assurer une gouvernance claire.","Without a disability, it would be difficult to ensure clear governance.",Module L18 — Diversité et équité en matière d’emploi
Être handicapé,,,,to be disabled,"Dans la note d’information, on propose de Être handicapé pour réduire les risques.","In the briefing note, we propose to be disabled to reduce risks.",Module L18 — Diversité et équité en matière d’emploi
Loi sur l’équité en matière d’emploi,,m,Low,Employment Equity Act,La mise en œuvre repose en grande partie sur Loi sur l’équité en matière d’emploi.,Implementation largely depends on Employment Equity Act.,Module L18 — Diversité et équité en matière d’emploi
Appliquer; respecter la loi,,,,to enforce; observe the law,Le ministère s’attend à ce que nous puissions Appliquer; respecter la loi sans retard.,The department expects us to enforce without delay.,Module L18 — Diversité et équité en matière d’emploi
minorité visible,,f,Low,a visible minority,Le minorité visible est essentiel(le) pour appuyer la prise de décision.,The a visible minority is essential to support decision-making.,Module L18 — Diversité et équité en matière d’emploi
origine,,f,Low,origin,"Lors de la réunion, l’ origine a été présenté(e) à l’équipe.","During the meeting, the origin was presented to the team.",Module L18 — Diversité et équité en matière d’emploi
Être d’origine …,,,,to be of … origin,"Pour respecter l’échéancier, on va Être d’origine … dès cette semaine.","To meet the timeline, we will be of … origin this week.",Module L18 — Diversité et équité en matière d’emploi
L’ouverture d’esprit,m,m,High,open-mindedness,"Dans le rapport, le L’ouverture d’esprit figure parmi les priorités.","In the report, the open-mindedness is listed among the priorities.",Module L18 — Diversité et équité en matière d’emploi
Avoir l’esprit ouvert,,,,to be open-minded,"Avant la séance d’information, il faudra Avoir l’esprit ouvert les options possibles.","Before the briefing, we’ll be open-minded the possible options.",Module L18 — Diversité et équité en matière d’emploi
préjugé,,f,Low,a prejudice,Un budget supplémentaire a été alloué à préjugé cette année.,An additional budget was allocated to a prejudice this year.,Module L18 — Diversité et équité en matière d’emploi
Avoir des préjugés,,,,to be prejudiced,"Après l’analyse des données, le groupe de travail va Avoir des préjugés.","After analyzing the data, the working group will be prejudiced.",Module L18 — Diversité et équité en matière d’emploi
Prendre conscience de,,,,to become aware of,Le ministère s’attend à ce que nous puissions Prendre conscience de sans retard.,The department expects us to become aware of without delay.,Module L18 — Diversité et équité en matière d’emploi
représentation,f,f,High,representation,Le représentation est essentiel(le) pour appuyer la prise de décision.,The representation is essential to support decision-making.,Module L18 — Diversité et équité en matière d’emploi
groupe sous-représenté,,f,Low,an under-represented group,"Lors de la réunion, le groupe sous-représenté a été présenté(e) à l’équipe.","During the meeting, the an under-represented group was presented to the team.",Module L18 — Diversité et équité en matière d’emploi
respect (des différences),,m,Low,respect (of differences),Le plan inclut respect (des différences) pour améliorer la prestation de services.,The plan includes respect to improve service delivery.,Module L18 — Diversité et équité en matière d’emploi
Avoir du respect pour autrui,,,,to respect others,Le comité recommande de Avoir du respect pour autrui afin d’assurer la transparence.,The committee recommends respect others to ensure transparency.,Module L18 — Diversité et équité en matière d’emploi
sensibilisation,f,f,High,awareness-raising,"Sans sensibilisation, il serait difficile d’assurer une gouvernance claire.","Without awareness-raising, it would be difficult to ensure clear governance.",Module L18 — Diversité et équité en matière d’emploi
Sensibiliser,,,,to raise awareness,"Dans la note d’information, on propose de Sensibiliser pour réduire les risques.","In the briefing note, we propose to raise awareness to reduce risks.",Module L18 — Diversité et équité en matière d’emploi
Être sensible à,,,,to be aware of,"Après l’analyse des données, le groupe de travail va Être sensible à.","After analyzing the data, the working group will be aware of.",Module L18 — Diversité et équité en matière d’emploi
tolérance,f,f,High,tolerance,Nous misons sur tolérance pour renforcer l’équité et l’inclusion.,We’re relying on tolerance to strengthen equity and inclusion.,Module L18 — Diversité et équité en matière d’emploi
L’accès (à l’information; à la connaissance),f,f,High,access (to information; knowledge),Le L’accès (à l’information; à la connaissance) est essentiel(le) pour appuyer la prise de décision.,The access (to information is essential to support decision-making.,Module L19 — La technologie
Avoir accès à,,,,to have access to,L’équipe a décidé de Avoir accès à après la consultation des partenaires.,The team decided to have access to after consulting stakeholders.,Module L19 — La technologie
En ligne,,f,Low,online,Le plan inclut En ligne pour améliorer la prestation de services.,The plan includes online to improve service delivery.,Module L19 — La technologie
cours; de la formation; des services en ligne,,f,Low,online course; training; services,"Dans le rapport, le cours; de la formation; des services en ligne figure parmi les priorités.","In the report, the online course is listed among the priorities.",Module L19 — La technologie
formation (à distance; en temps réel),,m,Low,training (distance; real-time),"Sans formation (à distance; en temps réel), il serait difficile d’assurer une gouvernance claire.","Without training (distance, it would be difficult to ensure clear governance.",Module L19 — La technologie
hyperlien,,m,Low,hyperlink,Un budget supplémentaire a été alloué à hyperlien cette année.,An additional budget was allocated to hyperlink this year.,Module L19 — La technologie
Internet,,m,Medium,the Internet,La mise en œuvre repose en grande partie sur Internet.,Implementation largely depends on the Internet.,Module L19 — La technologie
Naviguer; surfer sur Internet,,,,to browse; surf the Internet,Le ministère s’attend à ce que nous puissions Naviguer; surfer sur Internet sans retard.,The department expects us to browse without delay.,Module L19 — La technologie
ordinateur (personnel; portatif),,m,Low,a computer (PC; laptop),L’ ordinateur (personnel; portatif) est essentiel(le) pour appuyer la prise de décision.,The a computer (PC is essential to support decision-making.,Module L19 — La technologie
(qui) gèle,,f,Low,(that) crashes/freezes,"Lors de la réunion, le (qui) gèle a été présenté(e) à l’équipe.","During the meeting, the crashes/freezes was presented to the team.",Module L19 — La technologie
outil (de recherche; de travail),m,m,High,a (search; work) tool,Le plan inclut outil (de recherche; de travail) pour améliorer la prestation de services.,The plan includes a (search to improve service delivery.,Module L19 — La technologie
sécurité,,f,Low,security,"Dans le rapport, le sécurité figure parmi les priorités.","In the report, the security is listed among the priorities.",Module L19 — La technologie
problème de sécurité,,f,Low,a security issue,"Sans problème de sécurité, il serait difficile d’assurer une gouvernance claire.","Without a security issue, it would be difficult to ensure clear governance.",Module L19 — La technologie
surveillance électronique,,f,Low,electronic surveillance,Un budget supplémentaire a été alloué à surveillance électronique cette année.,An additional budget was allocated to electronic surveillance this year.,Module L19 — La technologie
technologie (au service de tous; de pointe; sans fil),,m,Low,technology (serving all; state-of-the-art; wireless),La mise en œuvre repose en grande partie sur technologie (au service de tous; de pointe; sans fil).,Implementation largely depends on technology (serving all.,Module L19 — La technologie
Technologique,,f,Low,technological,Nous misons sur Technologique pour renforcer l’équité et l’inclusion.,We’re relying on technological to strengthen equity and inclusion.,Module L19 — La technologie
avancée; une évolution technologique,,f,Low,technological breakthrough; evolution,L’ avancée; une évolution technologique est essentiel(le) pour appuyer la prise de décision.,The technological breakthrough is essential to support decision-making.,Module L19 — La technologie
Traitement des données,,m,Low,data processing,"Lors de la réunion, le Traitement des données a été présenté(e) à l’équipe.","During the meeting, the data processing was presented to the team.",Module L19 — La technologie
Apprendre,,,,to learn,"Pour respecter l’échéancier, on va Apprendre dès cette semaine.","To meet the timeline, we will learn this week.",Module L20 — Les compétences
L’apprentissage (continu),,m,Low,learning (continuous),"Dans le rapport, le L’apprentissage (continu) figure parmi les priorités.","In the report, the learning is listed among the priorities.",Module L20 — Les compétences
aptitude,,f,Low,an aptitude,"Sans aptitude, il serait difficile d’assurer une gouvernance claire.","Without an aptitude, it would be difficult to ensure clear governance.",Module L20 — Les compétences
Être apte à,,,,to be able to,"Dans la note d’information, on propose de Être apte à pour réduire les risques.","In the briefing note, we propose to be able to to reduce risks.",Module L20 — Les compétences
atout,,m,Low,an asset,La mise en œuvre repose en grande partie sur atout.,Implementation largely depends on an asset.,Module L20 — Les compétences
Capable,,f,Low,capable,Nous misons sur Capable pour renforcer l’équité et l’inclusion.,We’re relying on capable to strengthen equity and inclusion.,Module L20 — Les compétences
Être capable de,,,,to be able to,Nous devons Être capable de avant la date limite fixée par le gestionnaire.,We must be able to before the deadline set by the manager.,Module L20 — Les compétences
compétence (de base; essentielle; générale; technique),,f,Low,a (basic; essential; general; technical) skill,"Lors de la réunion, le compétence (de base; essentielle; générale; technique) a été présenté(e) à l’équipe.","During the meeting, the a (basic was presented to the team.",Module L20 — Les compétences
Développer une compétence,,,,to develop a skill,"Pour respecter l’échéancier, on va Développer une compétence dès cette semaine.","To meet the timeline, we will develop a skill this week.",Module L20 — Les compétences
Faire appel à certaines compétences,,,,to call on skills,Le comité recommande de Faire appel à certaines compétences afin d’assurer la transparence.,The committee recommends call on skills to ensure transparency.,Module L20 — Les compétences
profil de compétences,,m,Low,competency profile,"Sans profil de compétences, il serait difficile d’assurer une gouvernance claire.","Without competency profile, it would be difficult to ensure clear governance.",Module L20 — Les compétences
connaissances (de base; nécessaires; requises),,m,Low,knowledge (basic; necessary; required),Un budget supplémentaire a été alloué à connaissances (de base; nécessaires; requises) cette année.,An additional budget was allocated to knowledge (basic this year.,Module L20 — Les compétences
Acquérir des connaissances,,,,to acquire knowledge,"Après l’analyse des données, le groupe de travail va Acquérir des connaissances.","After analyzing the data, the working group will acquire knowledge.",Module L20 — Les compétences
diplôme,,f,Low,a diploma,Nous misons sur diplôme pour renforcer l’équité et l’inclusion.,We’re relying on a diploma to strengthen equity and inclusion.,Module L20 — Les compétences
Obtenir un diplôme,,,,to obtain a diploma,Nous devons Obtenir un diplôme avant la date limite fixée par le gestionnaire.,We must obtain a diploma before the deadline set by the manager.,Module L20 — Les compétences
études,,m,Low,studies,"Lors de la réunion, l’ études a été présenté(e) à l’équipe.","During the meeting, the studies was presented to the team.",Module L20 — Les compétences
Faire des études,,,,to study,"Pour respecter l’échéancier, on va Faire des études dès cette semaine.","To meet the timeline, we will study this week.",Module L20 — Les compétences
Retourner aux études,,,,to go back to school,Le comité recommande de Retourner aux études afin d’assurer la transparence.,The committee recommends go back to school to ensure transparency.,Module L20 — Les compétences
exigences (d’un poste),,f,Low,requirements (of a position),"Sans exigences (d’un poste), il serait difficile d’assurer une gouvernance claire.","Without requirements, it would be difficult to ensure clear governance.",Module L20 — Les compétences
Satisfaire; répondre aux exigences,,,,to meet requirements,"Dans la note d’information, on propose de Satisfaire; répondre aux exigences pour réduire les risques.","In the briefing note, we propose to meet requirements to reduce risks.",Module L20 — Les compétences
L’expérience,f,f,High,experience,La mise en œuvre repose en grande partie sur L’expérience.,Implementation largely depends on experience.,Module L20 — Les compétences
Avoir; manquer d’expérience,,,,to have; to lack experience,Le ministère s’attend à ce que nous puissions Avoir; manquer d’expérience sans retard.,The department expects us to have without delay.,Module L20 — Les compétences
habileté,,f,Low,a skill,L’ habileté est essentiel(le) pour appuyer la prise de décision.,The a skill is essential to support decision-making.,Module L20 — Les compétences
Qualifié,f,f,High,qualified,"Lors de la réunion, le Qualifié a été présenté(e) à l’équipe.","During the meeting, the qualified was presented to the team.",Module L20 — Les compétences
Être qualifié,,,,to be qualified,"Pour respecter l’échéancier, on va Être qualifié dès cette semaine.","To meet the timeline, we will be qualified this week.",Module L20 — Les compétences
qualification (essentielle),,f,Low,(essential) qualification,"Dans le rapport, le qualification (essentielle) figure parmi les priorités.","In the report, the qualification is listed among the priorities.",Module L20 — Les compétences
qualité (personnelle; professionnelle),,f,Low,a (personal; professional) quality,"Sans qualité (personnelle; professionnelle), il serait difficile d’assurer une gouvernance claire.","Without a (personal, it would be difficult to ensure clear governance.",Module L20 — Les compétences
consommation,f,f,High,consumption,Un budget supplémentaire a été alloué à consommation cette année.,An additional budget was allocated to consumption this year.,Module L21 — Ressources naturelles et protection de l’environnement
Réduire sa consommation,,,,to reduce one’s use,"Après l’analyse des données, le groupe de travail va Réduire sa consommation.","After analyzing the data, the working group will reduce one’s use.",Module L21 — Ressources naturelles et protection de l’environnement
couche d’ozone,,f,Low,ozone layer,Nous misons sur couche d’ozone pour renforcer l’équité et l’inclusion.,We’re relying on ozone layer to strengthen equity and inclusion.,Module L21 — Ressources naturelles et protection de l’environnement
déchets (toxiques),,m,Low,(toxic) waste,Le déchets (toxiques) est essentiel(le) pour appuyer la prise de décision.,The waste is essential to support decision-making.,Module L21 — Ressources naturelles et protection de l’environnement
traitement des déchets,,m,Low,waste treatment,"Lors de la réunion, le traitement des déchets a été présenté(e) à l’équipe.","During the meeting, the waste treatment was presented to the team.",Module L21 — Ressources naturelles et protection de l’environnement
déforestation,f,f,High,deforestation,Le plan inclut déforestation pour améliorer la prestation de services.,The plan includes deforestation to improve service delivery.,Module L21 — Ressources naturelles et protection de l’environnement
L’eau (potable),,f,Low,water (drinking),"Dans le rapport, le L’eau (potable) figure parmi les priorités.","In the report, the water is listed among the priorities.",Module L21 — Ressources naturelles et protection de l’environnement
contamination; la qualité de l’eau,m,m,High,water contamination; quality,"Sans contamination; la qualité de l’eau, il serait difficile d’assurer une gouvernance claire.","Without water contamination, it would be difficult to ensure clear governance.",Module L21 — Ressources naturelles et protection de l’environnement
L’effet de serre,,f,Low,greenhouse effect,"Dans la note d’information, on propose de L’effet de serre pour réduire les risques.","In the briefing note, we propose to greenhouse effect to reduce risks.",Module L21 — Ressources naturelles et protection de l’environnement
L’énergie (renouvelable; non renouvelable),,f,Low,energy (renewable; non-renewable),La mise en œuvre repose en grande partie sur L’énergie (renouvelable; non renouvelable).,Implementation largely depends on energy (renewable.,Module L21 — Ressources naturelles et protection de l’environnement
Économiser; gaspiller l’énergie,,,,to save; waste energy,Le ministère s’attend à ce que nous puissions Économiser; gaspiller l’énergie sans retard.,The department expects us to save without delay.,Module L21 — Ressources naturelles et protection de l’environnement
source d’énergie,f,f,High,an energy source,Le source d’énergie est essentiel(le) pour appuyer la prise de décision.,The an energy source is essential to support decision-making.,Module L21 — Ressources naturelles et protection de l’environnement
espèce (disparue; en voie de disparition; menacée),,f,Low,a species (extinct; endangered; threatened),"Lors de la réunion, l’ espèce (disparue; en voie de disparition; menacée) a été présenté(e) à l’équipe.","During the meeting, the a species (extinct was presented to the team.",Module L21 — Ressources naturelles et protection de l’environnement
faune,,f,Low,wildlife,Le plan inclut faune pour améliorer la prestation de services.,The plan includes wildlife to improve service delivery.,Module L21 — Ressources naturelles et protection de l’environnement
flore,,f,Low,flora,Le comité recommande de flore afin d’assurer la transparence.,The committee recommends flora to ensure transparency.,Module L21 — Ressources naturelles et protection de l’environnement
pesticides,,m,Low,pesticides,"Sans pesticides, il serait difficile d’assurer une gouvernance claire.","Without pesticides, it would be difficult to ensure clear governance.",Module L21 — Ressources naturelles et protection de l’environnement
pollution (de l’air; de l’eau),m,m,High,pollution (air; water),Un budget supplémentaire a été alloué à pollution (de l’air; de l’eau) cette année.,An additional budget was allocated to pollution (air this year.,Module L21 — Ressources naturelles et protection de l’environnement
Polluer,,,,to pollute,"Après l’analyse des données, le groupe de travail va Polluer.","After analyzing the data, the working group will pollute.",Module L21 — Ressources naturelles et protection de l’environnement
réchauffement de la planète,,f,Low,global warming,Nous misons sur réchauffement de la planète pour renforcer l’équité et l’inclusion.,We’re relying on global warming to strengthen equity and inclusion.,Module L21 — Ressources naturelles et protection de l’environnement
recyclage (du papier; du plastique; du métal),,m,Low,recycling (paper; plastic; metal),Le recyclage (du papier; du plastique; du métal) est essentiel(le) pour appuyer la prise de décision.,The recycling (paper is essential to support decision-making.,Module L21 — Ressources naturelles et protection de l’environnement
Recycler,,,,to recycle,L’équipe a décidé de Recycler après la consultation des partenaires.,The team decided to recycle after consulting stakeholders.,Module L21 — Ressources naturelles et protection de l’environnement
smog,,m,Low,smog,Le plan inclut smog pour améliorer la prestation de services.,The plan includes smog to improve service delivery.,Module L21 — Ressources naturelles et protection de l’environnement
